"start","activation_ins_buzz","activation_ambient_rain","activation_ins_trill","activation_mech_plane"
517.44,-2.1,-2.3,-2.8,-3
518.4,-2,-2.5,-2.4,-2.6
519.36,-2.4,-2.3,-2.1,-2.8
520.32,-2.2,-1.9,-2,-2.7
521.28,-2.6,-2.4,-2.9,-3
522.24,-2.2,-2.2,-2.7,-2.6
523.2,-2.7,-2.6,-2.8,-3
524.16,-1.9,-2.4,-2.5,-2.7
525.12,-2,-2.2,-2.6,-2.8
526.08,-2,-1.9,-2,-2.3
527.04,-1.8,-2.4,-2.6,-2.9
528,-1.8,-1.9,-2,-2.4
528.96,-1.9,-2.5,-2.6,-2.4
529.92,-1.7,-1.6,-1.5,-2.1
530.88,-2.2,-1.9,-2.3,-2.8
531.84,-1.6,-1.7,-1.5,-1.9
532.8,-1.8,-2.1,-1.7,-2.1
533.76,-1.8,-1.8,-1.9,-2.4
534.72,-1.9,-1.9,-2.3,-2.8
535.68,-2.2,-2.1,-2.2,-3
536.64,-1.9,-1.8,-1.9,-2.5
537.6,-2.5,-2.5,-2.4,-2.8
538.56,-2,-2.1,-2.2,-2.7
539.52,-2.2,-2.1,-2,-2.6
540.48,-2,-2,-2.1,-2.7
541.44,-2.1,-1.9,-1.9,-2.7
542.4,-2,-2.5,-2.5,-2.6
543.36,-1.8,-2.4,-2.4,-2.5
544.32,-1.8,-2.5,-2.4,-2.8
545.28,-1.8,-2.2,-2.1,-2.5
546.24,-1.8,-2,-1.8,-2.3
547.2,-1.5,-1.9,-1.8,-2
548.16,-1.6,-1.7,-2,-2.2
549.12,-1.7,-1.8,-1.7,-2.3
550.08,-1.7,-2.2,-2.4,-2.6
551.04,-2,-2.2,-2.1,-2.4
552,-2.4,-2.7,-2.9,-2.6
552.96,-2.3,-2.8,-3.2,-3.1
553.92,-2.1,-2.8,-3.1,-2.8
554.88,-1.8,-2.2,-2.6,-2.4
555.84,-1.8,-2.1,-2.3,-2.5
556.8,-2.2,-2.4,-2.7,-2.5
557.76,-1.9,-2.4,-2.3,-2.6
558.72,-3.4,-4.1,-4.4,-4.3
559.68,-2.7,-3,-3.6,-3.1
560.64,-2.5,-2.7,-2.9,-2.6
561.6,-2.8,-2.5,-3.4,-2.7
562.56,-2.2,-2.6,-2.9,-2.8
563.52,-1.5,-2.2,-2.3,-2.4
564.48,-1.9,-1.8,-2.2,-2.7
565.44,-2.1,-2,-2.2,-3.1
566.4,-1.8,-2.3,-2.5,-2.5
567.36,-2,-2.7,-2.8,-2.9
568.32,-2.3,-2.4,-2.9,-3.3
569.28,-2.2,-2.3,-2.2,-2.9
570.24,-2,-2.4,-2.2,-2.7
571.2,-2.3,-2.3,-2.1,-2.5
572.16,-2.1,-2.1,-1.9,-2.7
573.12,-1.8,-1.9,-1.7,-2.4
